Sector;Entidad;Beneficiario;ValorContrato
PLANEACION;DEPARTAMENTO DE PLANEACION - GESTION GENERAL;FONDO FINANCIERO DE PROYECTOS DE DESARROLLO FONADE;60000000000
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;Banco República;59302939563
HACIENDA - FONDO ADAPTACION;FONDO ADAPTACION;FIDEICOMISOS SOCIEDAD FIDUCIARIA DE OCCIDENTE SA;55000000000
INTERIOR;UNIDAD NACIONAL DE PROTECCION - UNP;UNION TEMPORAL PROTECCION COLOMBIA 4 16;53007563608
HACIENDA;MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL;Banco República;52734667243
REGISTRADURIA;REGISTRADURIA NACIONAL DEL ESTADO CIVIL - GESTION GENERAL;UNE EPM TELECOMUNICACIONES SA;52137825485
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;Banco República;52066135763
HACIENDA;MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL;DEPARTAMENTO DEL VALLE DEL CAUCA;51525903266
CIENCIA Y TECNOLOGIA;DEPARTAMENTO ADMINISTRATIVO DE LA CIENCIA- TECNOLOGIA E INNOVACION - GESTION GENERAL;FIDEICOMISOS PATRIMONIOS AUTONOMOS FIDUCIARIA LA PREVISORA SA;50386000000
HACIENDA;MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL;TRANSCARIBE SA;50000000000
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;CONSORCIO SES PUENTE MAGDALENA;49279434280
INCLUSION SOCIAL Y RECONCILIACION;INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF);BOGOTA DISTRITO CAPITAL;49149287342
REGISTRADURIA;REGISTRADURIA NACIONAL DEL ESTADO CIVIL - GESTION GENERAL;IDEMIA IDENTITY SECURITY SUCURSAL COLOMBIA;49135905317
COMUNICACIONES;FONDO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES;UNION TEMPORAL K2 COLOMBIA;48093979738
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;PERIMETRAL ORIENTAL DE BOGOTA SAS;47858530962
HACIENDA;MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL;Banco República;46498000000
PRESIDENCIA DE LA REPUBLICA;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;CONSORCIO FCP;45529000000
COMERCIO- INDUSTRIA Y TURISMO;MINCOMERCIO INDUSTRIA TURISMO - GESTION GENERAL;PATRIMONIO AUTONOMO FONDO NACIONAL DEL TURISMO FONTUR;45000000000
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;AUTOPISTA RIO MAGDALENA S A S;44822399836
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;Banco República;42615484543
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;CONSORCIO SES PUENTE MAGDALENA;40000000000
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;Banco República;39725800477
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;CSS CONSTRUCTORES S A;39440467679
MINAS Y ENERGIA;AGENCIA NACIONAL DE HIDROCARBUROS - ANH;FUNDACION PANAMERICANA PARA EL DESARROLLO COLOMBIA FUPAD COL;38923000000
INCLUSION SOCIAL Y RECONCILIACION;DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL - GESTIÓN GENERAL;ORGANIZACION DE ESTADOS IBEROAMERICANOS OEI;38868162996
INTERIOR;UNIDAD NACIONAL DE PROTECCION - UNP;UNION TEMPORAL SEGURIDAD INTEGRAL 2016;38707946735
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;MARIO ALBERTO HUERTAS COTES;38510000000
AGROPECUARIO;MINAGRICULTURA - GESTION GENERAL;ORGANIZACION DE ESTADOS IBEROAMERICANOS OEI;38354279468
EMPLEO PUBLICO;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA (ESAP);FONDO DE DESARROLLO DE LA EDUCACION SUPERIOR;38000000000
INCLUSION SOCIAL Y RECONCILIACION;DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL - GESTIÓN GENERAL;CONSORCIO PROSPERIDAD COLOMBIA;37972504213-59
COMUNICACIONES;FONDO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES;UNION TEMPORAL KVD;37953326918
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;CONSORCIO VCT 083;37532062188
AGROPECUARIO;MINAGRICULTURA - GESTION GENERAL;FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO;37450434229
PLANEACION;DEPARTAMENTO DE PLANEACION - GESTION GENERAL;FONDO FINANCIERO DE PROYECTOS DE DESARROLLO FONADE;37365895748
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;FIDUCIARIA COLOMBIANA DE COMERCIO EXTERIOR SA;37252839261
TRANSPORTE;AGENCIA NACIONAL DE INFRAESTRUCTURA;CONSORCIO IBINES FERREO;37118172784
TRANSPORTE;UNIDAD ADMINISTRATIVA ESPECIAL DE LA AERONAUTICA CIVIL;CONSORCIO EL EDEN;36916647015
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;CONSORCIO FFIE ALIANZA BBVA;36812787083
